send succes26-03-2018 14:42:06:  sending: {"Username":"prebenkarstensen","GivenName":"Preben","LastName":"Karstensen","Email":"123456@gmail.com","Password":"123456789"}
26-03-2018 14:42:06: send succes
26-03-2018 14:49:22:  sending: {"Username":"43214321","GivenName":"324144","LastName":"23143214","Email":"12343@gjdkl.om","Password":"123"}
26-03-2018 14:49:22: send failed
26-03-2018 14:53:18:  sending: {"Username":"kokasokoasko","GivenName":"Jasper","LastName":"Bjerregaard","Email":"123@gmail.com","Password":"123456789"}
26-03-2018 14:53:18: send failed
26-03-2018 14:58:12:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:12: send failed
26-03-2018 14:58:31:  sending: {"Username":"KANELKAGE85","GivenName":null,"LastName":null,"Email":null,"Password":"123890123789"}
26-03-2018 14:58:31: send failed
26-03-2018 14:58:39:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:39: send failed
26-03-2018 14:58:40:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:40: send failed
26-03-2018 14:58:40:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:40: send failed
26-03-2018 14:58:41:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:41: send failed
26-03-2018 14:58:41:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:41: send failed
26-03-2018 14:58:42:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:42: send failed
26-03-2018 14:58:42:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:42: send failed
26-03-2018 14:58:43:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:43: send failed
26-03-2018 14:58:44:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:44: send failed
26-03-2018 14:58:45:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:45: send failed
26-03-2018 14:58:45:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:45: send failed
26-03-2018 14:58:46:  sending: {"Username":"123","GivenName":null,"LastName":null,"Email":null,"Password":"123"}
26-03-2018 14:58:46: send failed
